,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,gender,SeniorCitizen,Partner,Dependents,MultipleLines,TenureMonths,ChargeGroup
0,2020-01-01,,Month-to-month,Yes,Electronic check,29.85,29.85,0,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,Unknown,1,Low
1,2017-04-01,,One year,No,Mailed check,56.95,1889.5,0,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,35,Medium
2,2019-10-01,2019-12-01,Month-to-month,Yes,Mailed check,53.85,108.15,1,DSL,Yes,Yes,No,No,No,No,Male,0,No,No,No,2,Medium
3,2016-05-01,,One year,No,Bank transfer (automatic),42.3,1840.75,0,DSL,Yes,No,Yes,Yes,No,No,Male,0,No,No,Unknown,46,Low
4,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,70.7,151.65,1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,2,High
5,2019-03-01,2019-11-01,Month-to-month,Yes,Electronic check,99.65,820.5,1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,8,Very High
6,2018-04-01,,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,Yes,Yes,22,High
7,2019-04-01,,Month-to-month,No,Mailed check,29.75,301.9,0,DSL,Yes,No,No,No,No,No,Female,0,No,No,Unknown,10,Low
8,2017-07-01,2019-11-01,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,28,Very High
9,2014-12-01,,One year,No,Bank transfer (automatic),56.15,3487.95,0,DSL,Yes,Yes,No,No,No,No,Male,0,No,Yes,No,63,Medium
10,2019-01-01,,Month-to-month,Yes,Mailed check,49.95,587.45,0,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,13,Medium
11,2018-10-01,,Two year,No,Credit card (automatic),18.95,326.8,0,No,No,No,No,No,No,No,Male,0,No,No,No,16,Low
12,2015-04-01,,One year,No,Credit card (automatic),100.35,5681.1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,59,Very High
13,2015-09-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,50,Very High
14,2018-01-01,,Month-to-month,Yes,Electronic check,105.5,2686.05,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,25,Very High
